Grupo,Numero_Amostra,Local,Longitude,Latitude,Descricao_Local,Temperatura_Coleta,Ph(Arduino),Ph(Fita),Turbidez(NTU),Umidade(%),Temperatura_Analise,Volts_OPCIONAL_Grupo5
7,1,PREDIO L9,-45.452.470,-22.412.870,TORNEIRA AO LADO DO L9,25ºC,"4,98",6,0,60.00,27.70ºC,
7,2,PREDIO Y1,-45.449.622,-22.412.349,POÇA D'ÁGUA EM FRENTE AO Y1,"33,3ºC","4,8",5,180,61.50,27.50ºC,
7,3,LAGO,-45.451.623,-22.412.691,PERTO DO TRATAMENTO DE ÁGUA,"27,8ºC","5,19",6,159.80,60.60,27.60ºC,
7,4,PREDIO  L9,-45.452.556,-22.412.619, BEBEDOURO DO L9,"8,6ºC","4,99",6,19.00,60.20,27.90ºC,
7,5,BIBLIOTECA,-45.448.668,-22.412.984,TORNEIRA DO BANHEIRO MASCULINO,"25,3ºC",5.97,5,11.12,59.70,27.20ºC,
7,6,PREDIO KI,-45452294,-22.411.548,BEBEDOURO,"17,2ºC",5.70,5,5.70,60.10,27.30ºC,
7,7,POÇA D'ÁGUA,-45452301,-22411938, PERTO DO LAGO,"25,9ºC",6.97,6,160.21,59.90,27.00ºC,
10,1,PREDIO B1 (IEPG),45°27'00.0,22°24'50.0,BEBEDOURO CORREDOR PREDIO B1,23.1 °C,6.33,6,0,56.4,25.8ºC,
10,2,PREDIO B1 (IEPG),45°26'58.4,22°24'49.9,BEBEDOURO HALL PREDIO B1,13.9 °C,6.52,6,0,58.2,25.7ºC,
10,3,PREDIO B4,45°26'58.2,22°24'48.4,BEBEDOURO CORREDOR PRINCIPAL PREDIO B4,11 °C,6.22,6,54.59,56.9,25.3ºC,
10,4,BANHEIRO PREDIO B4,45°26'58.1,22°24'48.3,TORNEIRA BANHEIRO MASCULINO PREDIO B4,24.9 °C,6.33,6,4.96,56.6,25.6ºC,
10,5,PREDIO B4,45°26'57.3,22°24'48.7,BEBEDOURO FIM DO B4,22.2 °C,6.28,6,2.49,56.4,25.4ºC,
10,6,LADO DE FORA PREDIO B4,45°26'56.6,22°24'49.1,TORNEIRA DO LADO DE FORA DO PREDIO B4,26.6 °C,6.41,6,0,56.2,25.4ºC,
10,7,CONSTRUCAO PREDIO DE LABORATORIO DE QUIMICA,45°26'53.9,22°24'41.6,CONTRUCAO DO PREDIO DOS LABORATORIOS DE QUIMICA,32 °C,6.44,5,3000,56.3,24.8ºC,
5,1,BEBEDOURO,-22.414.000,-45.449.639,PRÉDIO B PRIMEIRO ANDAR,15 ºC,6.61,6,0.00,60.00,27.70,8.70
5,2,DUCHA QUADRA,-22.415.167,-45.447.056,DUCHA QUADRA,"25,8ºC",6.38,6,10.30,60.70,27.50,8.65
5,3,BEBEDOURO,-22.415.167,-45.447.056,LADO DA QUADRA DE AREIA,"10,9 ºC",4.48,5,5.11,61.60,27.90,8.65
5,4,POÇA D'ÁGUA,-22.415.194,-45.447.194,RUA DO POLIESPORTIVO,"33,6 ºC",7,5,129.21,60.60,28.00,8.31
5,5,TORNEIRA,-22.412.583,-45.447.028,LABORATÓRIO DE QUIMICA,"25,4 ºC",4.39,6,2.00,59.70,27.80,8.68
5,6,BICA,-22.412.583,-45.447.000,HORTA DA UNIFEI,"25,4 ºC",4.11,5,11.00,59.80,28.00,8.65
5,7,LAGO,-22.411.833,-45.450.930,PERTO DO CAIAQUE,"27,3 ºC",5.57,6,55.10,59.60,27.90,8.41
2,1,BARRIL AZUL,-45.450782,-22.412644,BARRIL AO LADO DO BLOCO M,"26,1 ºC",5.2,6,0,64,"26,1",
2,2,LAGO,-45.4509568,-22.4118245,LAGO DA UNIFEI / LAGO DOS PATOS,"27,1 ºC",8.5,8,52,67,"25,9",
2,3,TORNEIRA,-45.4483336,-22.4116552,TORNEIRA DE ÁGUA DA RUA DO BLOCO X,"26,8 ºC",6.4,7,0,72,26,
2,4,POÇA 1,-45.4481073,-22.4126948,POÇA D'ÁGUA PRÓXIMA A PREFEITURA DA UNIFEI,"33,7 ºC",6.1,7,141,72,"25,1",
2,5,LAGUINHO,-45.4476040,-22.4133879,LAGUINHO DO BLOCO CEQUAM COM PEIXES,"25,2 ºC",6.3,7,33,71,"25,8",
2,6,BEBEDOURO,-45.4471802,-22.4129508,BEBEDOURO DOS LABORATÓRIOS DE QUÍMICA,"5,3 ºC",6.2,6,20,68,"25,4",
2,7,POÇA 2,-45.4478018,-22.4141978,POÇA D'ÁGUA PRÓXIMA AO BLOCO C,"24,3 ºC",5.7,6,172,70,"25,9",
4,1,RU,-45.27051,-22.24474,BEBEDOURO DO RU,"27,2 ºC","7,19",6,"4,2",65,"27,2","17,4 mV"
4,2,Lago,-45.450924,-22.41179200,LAGO DA UNIFEI / LAGO DOS PATOS,"25,5 ºC","6,55",6,"159,81","63,3","27,5","79,5 mV"
4,3,Caixa d'água,-45.4503583,-22.411810300,CAIXA D'ÁGUA,"25,8 ºC","7,19",6,"30,69","63,1","27,5",157 mV
4,4,Poça,-45.27038,-22.412895100,POÇA D'ÁGUA PRÓXIMA AO RU,"26,2 ºC","7,22",6,307,"62,7","27,6",141 mV
