Produto;Turbidez;Fita PH;PH;Temperatura Ambiente;Umidade Ambiente;Cor;PH Calculado com Tensão;Constante;Condutibilidade Elétrica;Temperatura Água;Latitude;Longitude;Região;Cidade
Limão;366,39;2 e 3;3,50;27,2;69,6;Verde;1,25;5642;N/A;26,5;38736946;-9142685;Sala de Apoio;Itajubá
Amaciante;731,15;6;6,88;27,3;68,4;Azul;2,46;5642;N/A;26,3;38736946;-9142685;Sala de Apoio;Itajubá
Bicarbonato;109,28;9;6,05;27,2;69,3;Marrom;2,16;5642;N/A;25;38736946;-9142685;Sala de Apoio;Itajubá
Vinagre;136;5;3,30;27,2;69,5;Laranja;1,18;5642;N/A;25,6;38736946;-9142685;Sala de Apoio;Itajubá
Água Bebedouro;27,78;5;6,30;27,2;67,4;Cinza;2,25;5642;N/A;25,8;38736946;-9142685;Sala de Apoio;Itajubá
RU;4,2;6;7,19;27,2;65;Rosa;2,57;5642;17,4;27,2;22.244.74;45.270.51;RU;Itajubá
Lago;159,81;6;6,55;27,5;63,3;Amarelo;2,34;5642;79,5;25,5;-22.411.792;-45.450.924;Lago Canto;Itajubá
Caixa dà água;30,69;6;7,19;27,5;63,1;Lilás;2,57;5642;-157;25,8;-22.4118103;-45.4503583;Caixa dá àgua RU;Itajubá
Poça;307;6;7,22;27,6;62,7;Azul Claro;2,58;5642;-141;26,2;-22.4128951;45.270.38;Poça Estacionamento;Itajubá
Cachorro;30,69;6;7,13;27,6;62,6;Roxo;2,55;5642;126;21,4;22.244.74;45.270.51;RU Externo;Itajubá
Cantina;10;6;7,19;27,6;62,3;Verde escuro;2,57;5642;89;26,6;-22413165;-45451412;Cantina;Itajubá
Goteira;45;6;7,12;27,5;63,1;Azul Escuro;2,54;5642;194;20;-22.4048650;, -45.4485824;Goteira Caixa dà Água;Itajubá
